,CountryCode,ShortName,GDP,Life expectancy,Enrollment primary education,Enrollment secondary education,Enrollment tertiary education,Renewable energy consumption,Fossil fuel energy consumption,Year,Education
39,BEN,Benin,732.9536227266742,58.7297073170732,116.28954315185499,47.6814994812012,13.260009765625,51.5493723622777,41.5541857358705,2010,177.2310523986812
40,BEN,Benin,799.0355591314301,58.9329024390244,118.607521057129,47.6814994812012,12.365119934082001,51.1920440498255,41.8098074461241,2011,178.6541404724122
41,BEN,Benin,807.6884510172321,59.1219756097561,122.76612091064501,47.6814994812012,12.812564849853501,50.567384139342096,42.3707141842762,2012,183.26018524169973
42,BFA,Burkina Faso,574.458089293656,57.0513902439024,78.3554229736328,21.894510269165,3.5795900821685804,83.685211868941,16.314788131059004,2010,103.82952332496637
43,BFA,Burkina Faso,665.807446693793,57.492048780487785,82.238426208496,23.817480087280305,4.14663982391357,80.0100589387548,19.989941061245204,2011,110.20254611968987
44,BFA,Burkina Faso,673.0267834254071,57.879317073170704,84.96495056152341,25.922910690307607,4.56077003479004,81.8476354038479,18.152364596152097,2012,115.44863128662105
45,BGD,Bangladesh,760.3319352001952,70.0802926829268,104.461738586426,49.8884696960449,13.1903748512268,41.026906552831896,71.3989782150986,2010,167.5405831336977
46,BGD,Bangladesh,838.547801702232,70.4719512195122,114.202362060547,50.79389953613279,13.152819633483901,39.5537384758395,72.04490822248908,2011,178.1490812301637
47,BGD,Bangladesh,858.933362587621,70.8602682926829,109.3320503234865,53.6488914489746,13.2279300689697,38.2997229747086,72.99875222955579,2012,176.2088718414308
48,BGR,Bulgaria,6752.552177748821,73.5121951219512,103.201820373535,90.4384918212891,57.992950439453104,14.368109565090199,73.202076253634,2010,251.6332626342772
49,BGR,Bulgaria,7750.03988003072,74.16341463414629,100.92662811279301,93.2321624755859,59.6252288818359,13.275559169121099,75.0209328798813,2011,253.78401947021482
50,BGR,Bulgaria,7333.355073039449,74.31463414634149,99.52832794189449,93.11093139648442,62.6964797973633,15.7507407035973,72.1610978832518,2012,255.33573913574222
51,BHR,Bahrain,20386.0175551115,76.1275609756098,114.88655673510851,96.436668395996,36.5516395568848,0.11950835803550319,99.8804916419645,2010,247.8748646879893
52,BHR,Bahrain,22238.7119502059,76.2678536585366,114.88655673510853,101.490303039551,36.5516395568848,0.08271915887630144,99.9172808411237,2011,252.92849933154432
53,BHS,The Bahamas,21920.516586758302,74.5923902439024,107.962890625,92.8586883544922,64.05192222915778,1.5886077659666598,98.41139223403334,2010,264.87350120864994
54,BLR,Belarus,5818.8548592157995,70.4048780487805,103.408348083496,106.960273742676,78.994140625,7.016370880922611,91.9883609410177,2010,289.362762451172
55,BLR,Belarus,6305.773662476529,70.5536585365854,101.203399658203,106.30275726318399,85.6971206665039,7.37848466775092,91.3924705961574,2011,293.2032775878909
56,BLR,Belarus,6721.8349077396815,71.9658536585366,99.1326065063477,106.363739013672,91.4524688720703,7.249394130804879,91.04727046310431,2012,296.94881439209
57,BLZ,Belize,4344.136669060879,69.7820487804878,120.61302947997999,80.5227279663085,22.5795001983643,26.9344129004042,73.0655870995958,2010,223.7152576446528
58,BLZ,Belize,4517.12399716883,69.8436829268293,118.818641662598,81.1442413330078,22.863380432128896,26.8002952634995,73.19970473650051,2011,222.82626342773472
59,BLZ,Belize,4674.29337673407,69.9051463414634,120.78366851806601,84.0122528076172,25.787969589233303,26.867354081951852,73.13264591804815,2012,230.5838909149165
60,BOL,Bolivia,1981.1601052570104,66.40775609756099,98.0042266845703,77.5375900268555,16.72571686967402,33.5383341388364,71.64524284050059,2010,192.2675335810998
61,BOL,Bolivia,2377.70068972888,66.9425609756098,94.45384979248051,77.2704620361328,16.72571686967402,32.6775903791362,71.67500066581091,2011,188.45002869828733
62,BOL,Bolivia,2645.29027433174,67.4454634146341,92.0059432983398,78.1713790893555,16.725716869674017,27.9853059719218,77.016608981501,2012,186.90303925736933
63,BRB,Barbados,15901.4329353355,74.8452926829268,105.680709838867,101.499298095703,64.811912536621,8.814995675598151,91.18500432440185,2010,271.991920471191
64,BRB,Barbados,15530.8942915589,75.0081463414634,105.28556060791,104.66017913818399,60.8425216674805,9.47726964900658,90.52273035099341,2011,270.78826141357445
